,Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm)
,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
Age (years),,,,,,,,,,,,,,
40.0,2.1480385055568934,2.3676281927734237,2.350066505628776,2.6547338349596536,2.8758624737628473,2.4526964732720224,2.632505731288678,0.084878383357953,0.09984314748388919,0.09225279464979456,0.08589325234070727,0.10010884192187419,0.08723817018439466,0.0868353353699489
41.0,2.148583124524398,2.3659138846215675,2.349844453657844,2.6518734751422888,2.8755246003643333,2.451731455119769,2.6314585263000514,0.08500897578904462,0.10019115983566836,0.09244680242630224,0.08595352861038394,0.10023885712426994,0.08727690501989399,0.08682903201462677
42.0,2.1491852541584824,2.3641816532059017,2.3496472126726835,2.6490573660908234,2.8752175567894254,2.450804046485374,2.6304633541077687,0.08517012753610347,0.10056215088677187,0.09267051273191008,0.08604046086477882,0.10039370488003863,0.08734556388667342,0.08684944146736573
43.0,2.149801591314918,2.3623936826578573,2.349426678368894,2.6462488118561796,2.874909548457885,2.4498668876620617,2.6294693035964154,0.08536178940252327,0.10095571747547324,0.09292443243078238,0.08615479802073209,0.10057317777123999,0.08744483302101594,0.08689728640773195
44.0,2.1503888328495404,2.3605121571088246,2.3491347464421515,2.6434111164892746,2.87456878078949,2.4488726189430308,2.628425463650545,0.08558394498371914,0.1013714766775093,0.09320909781221717,0.08629732106600219,0.10077708243973811,0.08757542984481215,0.08697332140095726
45.0,2.1509036756181192,2.3584992606902175,2.3487233125880667,2.6405075840410177,2.874163459204002,2.4477738806214515,2.627280923154735,0.08583661412614027,0.10180906502171268,0.09352507539583012,0.08646884392707298,0.10100524056535068,0.0877381031881735,0.08707833480394639
46.0,2.1513028164764587,2.356317177533434,2.3481442725022883,2.637501518562316,2.873661789121186,2.4465233129905375,2.6259847709935435,0.08611985665285778,0.10226813766851768,0.09387296278929984,0.08667021435625762,0.101257490069522,0.0879336335181732,0.08721315079434545
47.0,2.151542952280354,2.3539280917698835,2.3473495218804503,2.6343562241040823,2.8730319759608056,2.4450735563434707,2.6244860960515393,0.08643377637093888,0.1027483675437515,0.09425338959893785,0.0869023148451763,0.10153368656351434,0.08816283317578229,0.08737863153539083
48.0,2.1515807798855966,2.351294187530969,2.346290956418188,2.631035004717236,2.872242225142626,2.443377250973484,2.6227339872132935,0.08677852538363144,0.10324944442274679,0.09466701839301073,0.08716606356963498,0.10183370506806999,0.08842654662136376,0.08757567948749281
49.0,2.1513729961479897,2.3483776489480914,2.344920471811155,2.627501164452681,2.8712607420864003,2.441387037173721,2.6206775333633705,0.08715430873901486,0.10377107396276625,0.09511454571734014,0.08746241536847506,0.10215744204033275,0.08872565068718939,0.08780523987541343
50.0,2.1508762979233293,2.3451406601526554,2.3431899637549702,2.6237180073613295,2.870055732211914,2.439055555237417,2.6182658233863383,0.08756138945628014,0.10431297668508807,0.0955967031622604,0.08779236275609037,0.10250481775367692,0.08906105483334167,0.08806830331746504
