,Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm)
,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
Age (years),,,,,,,,,,,,,,
39.0,2.151672012327525,2.3584366949589977,2.3433032058151597,2.656938904114439,2.8758161693256454,2.4475271157066283,2.627697067214258,0.0847942571395659,0.09996653549674786,0.09278441196881891,0.08644991685975927,0.09992715722813007,0.08790168108709057,0.08748503361455491
40.0,2.152115817484241,2.356702494202332,2.3430082385541144,2.6539975975820718,2.8754156715232893,2.4464771283296916,2.6265469183138426,0.08489434438979243,0.1002912490265109,0.09295090606293877,0.08648487688548998,0.10003177384184271,0.08791239710684891,0.08745355892642986
41.0,2.152660436451741,2.354988186050461,2.3427861865832056,2.6511372377646913,2.8750777981247686,2.445512110177428,2.6254997133252136,0.08502511870324642,0.1006395599792538,0.09314683592289798,0.0865459707736637,0.10016152391130452,0.08795257524701641,0.08744830674960725
42.0,2.1532625660858327,2.3532559546348,2.3425889455980227,2.648321128713239,2.874770754549863,2.4445847015430444,2.624504541132942,0.08518650461055538,0.10101104829590843,0.09337267776172367,0.086633920146014,0.10031618418439872,0.08802287148632333,0.0874699712150751
43.0,2.153878903242278,2.35146798408676,2.342368411294261,2.6455125744785923,2.8744627462183208,2.4436475427197335,2.623510490621573,0.08537845611863788,0.10140531491271541,0.09362893657771051,0.08674947830318792,0.1004955445538401,0.08812397311098892,0.0875192769028576
44.0,2.1544661447768947,2.3495864585377184,2.342076479367507,2.642674879111691,2.8741219785499346,2.442653274000689,2.622466650675708,0.08560095998774327,0.10182198103145035,0.09391614690396528,0.0868934310792197,0.10069940886402613,0.08825659892504847,0.087596980626692
45.0,2.154980987545473,2.347573562119112,2.3416650455134214,2.6397713466634256,2.873716656964453,2.4415545356791153,2.6213221101798947,0.08585403927606121,0.1022606873664356,0.0942348736100906,0.08706659770181008,0.10092759593973044,0.08842149946025255,0.0877038733243652
46.0,2.155380128403807,2.3453914789623242,2.3410860054276355,2.6367652811847284,2.8732149868816235,2.440303968048207,2.620025958018708,0.08613775716052896,0.10272109335852302,0.09458571275651842,0.08726983166691918,0.10117994084859544,0.08861945718893123,0.0878407820677092
47.0,2.155620264207707,2.3430023931987742,2.340291254805799,2.6336199867264916,2.8725851737212404,2.438854211401144,2.6185272830766952,0.08645222104960136,0.10320287634853237,0.09496929250175223,0.08750402163451838,0.10145629641673932,0.08885128674171536,0.0880085722048199
48.0,2.1556580918129495,2.340368488959868,2.3392326893435484,2.630298767339645,2.8717954229030656,2.4371579060311377,2.6167751742384513,0.08679758701170845,0.10370573070526459,0.095386274062466,0.08777009235028016,0.1017565350249418,0.0891178351302881,0.08820814964530986
49.0,2.1554503080753475,2.3374519503769875,2.3378622047365027,2.626764927075099,2.8708139398468404,2.435167692231384,2.6147187203885363,0.08717406455193176,0.10422936690621638,0.09583735272603616,0.088069005595524,0.10208055072192183,0.08941998197343136,0.08844046329731521
50.0,2.154953609850686,2.334214961581556,2.336131696680316,2.6229817699837508,2.869608929972347,2.432836210295075,2.612307010411498,0.08758192177913567,0.10477351057250446,0.0963232589146608,0.08840176116484637,0.10242826170133425,0.0897586397225098,0.0887065076625542
51.0,2.1541339601894554,2.3306281346705915,2.334003538482712,2.618920782789072,2.868155197380577,2.4301268617261935,2.6095006881069773,0.08802085819484202,0.10533790456987394,0.09684444955374677,0.08876915338281079,0.10279989202828939,0.09013461444119043,0.08900718513244171
52.0,2.1529943869209034,2.3266957936036,2.331482013899631,2.6145861829047754,2.866453940897364,2.4270460928718802,2.6063066169348326,0.08848808248015827,0.10592231165092983,0.09740017045540654,0.08917102997171254,0.1031968211117139,0.09054818639911351,0.08934288430817901
53.0,2.1515471840689697,2.322430690305732,2.328581884299185,2.60999037041712,2.8645129580297923,2.423611111290055,2.60274321526993,0.08898015251087504,0.1065264946888387,0.09798936752293283,0.08960701108873671,0.10362076649281432,0.09099952805690197,0.089713897772717
54.0,2.1498046456576194,2.3178455767021027,2.325317911049407,2.60514574541234,2.8623400462849475,2.419839124538666,2.598828901487223,0.08949358113277846,0.10715021203857139,0.0986109900486456,0.09007673210420708,0.10407350819392125,0.09148884657268083,0.09012056232433041
55.0,2.1477790657107767,2.312953204717834,2.3217048555183775,2.6000647079767143,2.8599430031698896,2.415747340175624,2.5945820939615776,0.09002481624668288,0.10779321732588656,0.09926398650460086,0.09057984390163279,0.1045568886956257,0.09201638652692556,0.09056325882123797
56.0,2.145482738252391,2.307766326278063,2.3177574790741358,2.5947596581964922,2.857329626191687,2.4113529657588644,2.5900212110679024,0.09057022190302982,0.10845525908144102,0.09994730045282312,0.09111601304590496,0.10507281215913296,0.09258243174628127,0.0910424113801746
57.0,2.142927957306403,2.302297693307928,2.3134905430847543,2.589242996157934,2.854507712857429,2.406673208846315,2.5851646711811176,0.09112606031118686,0.10913608021513622,0.10065986655173291,0.09168492182940749,0.10562324282832819,0.09318730620227024,0.09155848592184815
58.0,2.1401270168967583,2.29656005773254,2.3089188089182953,2.5835271219473053,2.851485060674191,2.4017252769959083,2.5800308926761217,0.09168847469740153,0.10983541732755721,0.10140060663415322,0.09228626819695919,0.10621020255971889,0.0938313739439372,0.09211198804996559
59.0,2.137092211047397,2.290566171477059,2.3040570379428154,2.5776244356508347,2.848269467149026,2.3965263777655728,2.574638293927807,0.09225347299207472,0.11055299985499047,0.10216842583240496,0.0929197655393679,0.10683576744061284,0.09451503800105977,0.09270346024015394
60.0,2.133835833782261,2.2843287864665833,2.2989199915263745,2.5715473373548132,2.844868729789016,2.3910937187132277,2.5690052933110854,0.09281691239331048,0.11128854904192115,0.10296220872770684,0.09358514233168959,0.10750206346649772,0.09523873816602758,0.09333347830021543
61.0,2.130370179125296,2.2778606546262594,2.293522431037038,2.5653082271454783,2.841290646101258,2.385444507396803,2.5631503092008594,0.09337448494156052,0.11204177672986011,0.10378081550454657,0.09428214157577848,0.10821126125739573,0.09600294752741369,0.09400264704339932
62.0,2.1267075411004606,2.271174527881217,2.2878791178428584,2.558919505109099,2.8375430135927906,2.3795959513742337,2.557091759972039,0.09392170435190984,0.11281238394366443,0.10462307809605803,0.09501051998721563,0.10896556979960179,0.09680816758643866,0.09471159509152706
63.0,2.1228602137316654,2.264283158156585,2.282004813311907,2.5523935713319186,2.833633629770713,2.3735652582034574,2.5508480639995237,0.09445389448861097,0.11360005924604612,0.10548779631390323,0.09577004684413115,0.10976722920325188,0.097654921739119,0.09546096869488717
64.0,2.1188404910428824,2.2571992973774844,2.27591427881224,2.545742825900192,2.8295702921420895,2.3673696354423797,2.5444376396582076,0.09496618003338164,0.11440447681758235,0.10637373396587155,0.09656050238994773,0.11061850246714647,0.09854374685269403,0.09625142442118563
