,Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm)
,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
Age (years),,,,,,,,,,,,,,
39.0,2.1435173884728163,2.3802880921011993,2.3574197399644445,2.6584113788696135,2.8767097738047736,2.4599658055913074,2.639614693163928,0.08476370625346442,0.0990780521963056,0.09139784482607297,0.08527297472416916,0.10009143779851214,0.08656325595138896,0.08625305001187565
40.0,2.1439611936295435,2.37855389134453,2.3571247727034157,2.6554700723372426,2.876309276002409,2.4589158182143604,2.6384645442635164,0.08486352970419613,0.09940253470293502,0.09156092379344914,0.08530669842408524,0.10019674764305943,0.08657146904394175,0.08621987791614229
41.0,2.1445058125970387,2.376839583192663,2.356902720732495,2.6526097125198747,2.875971402603889,2.457950800062095,2.637417339274891,0.08499394113172311,0.09975022811226235,0.09175301630839874,0.08536616628011688,0.1003270343387868,0.08660876049641045,0.08621252523910058
42.0,2.1451079422311246,2.3751073517770016,2.356705479747323,2.649793603468401,2.8756643590289825,2.457023391427709,2.6364221670826042,0.08515485840342471,0.10012070432390147,0.0919746024501364,0.08545209204092179,0.10048207983156768,0.08667578494069406,0.08623168307099945
43.0,2.145724279387564,2.3733193812289533,2.356484945443545,2.646985049233766,2.8753563506974467,2.4560862326044064,2.635428116571251,0.08534622909021783,0.10051355623368811,0.09222619085765071,0.08556522020235367,0.10066167951292768,0.08677322763290761,0.08627807222971445
44.0,2.1463115209221795,2.371437855679926,2.356193013516797,2.644147353866866,2.8750155830290556,2.455091963885355,2.6343842766253895,0.08556803359029877,0.10092839694937908,0.0925083194863234,0.08570632686792813,0.100865642942839,0.0869018046840105,0.08635244507104806
45.0,2.1468263636907645,2.369424959261319,2.3557815796627155,2.641243821418601,2.8746102614435682,2.453993225563784,2.6332397361295805,0.0858202885020874,0.10136485897509323,0.09282155641646199,0.0858762206246496,0.10109379477837241,0.08706226329606662,0.0864555874112469
46.0,2.147225504549106,2.367242876104534,2.355202539576932,2.6382377559399,2.8741085913607503,2.4527426579328697,2.631943583968378,0.08610305025418441,0.10182259335459791,0.09316650071430177,0.0860757434431688,0.10134597591983469,0.08725538200787548,0.0865883205760541
47.0,2.147465640352992,2.3648537903409896,2.3544077889550974,2.635092461481667,2.8734787782003592,2.451292901285816,2.6304449090263673,0.08641641900701727,0.10230126876579883,0.09354378334575116,0.08630577160958704,0.10162204489306963,0.08748197095221978,0.08675150358916466
48.0,2.1475034679582516,2.362219886102063,2.3533492234928404,2.631771242094826,2.8726890273821803,2.449596595915815,2.6286928001881273,0.08676054284849988,0.10280057056137346,0.0939540681427837,0.08656721669417912,0.10192187949437077,0.08774287212528108,0.08694603551118342
